,dataset,mode,size,channels,auc,class,f1,run
481,pokemon,train,8,12.0,0.3580508474576272,13,,2
482,pokemon,train,8,12.0,0.680327868852459,14,,2
483,pokemon,train,8,12.0,0.5138339920948617,15,,2
484,pokemon,train,8,12.0,0.4727272727272728,16,,2
485,pokemon,train,8,12.0,0.6454081632653061,17,,2
486,pokemon,test,8,12.0,,0,,0
487,pokemon,test,8,12.0,0.6724137931034483,1,,0
488,pokemon,test,8,12.0,0.3931623931623932,2,,0
489,pokemon,test,8,12.0,0.3333333333333333,3,,0
490,pokemon,test,8,12.0,0.4461538461538461,4,,0
491,pokemon,test,8,12.0,,5,,0
492,pokemon,test,8,12.0,0.6428571428571429,6,,0
493,pokemon,test,8,12.0,,7,,0
494,pokemon,test,8,12.0,0.8333333333333334,8,,0
495,pokemon,test,8,12.0,,9,,0
496,pokemon,test,8,12.0,0.7976190476190474,10,,0
497,pokemon,test,8,12.0,0.5933333333333333,11,,0
498,pokemon,test,8,12.0,,12,,0
